cor_type,cor,concreteness
Patches and Hex Codes,0.1914652263405292,2.79
Patches and Hex Codes,0.0,2.59
Patches and Hex Codes,0.6492118345642185,1.53
Patches and Hex Codes,0.10573377394362009,1.83
Patches and Hex Codes,0.551766396911088,4.97
Patches and Hex Codes,0.40780227198888214,1.45
Patches and Hex Codes,0.4241365909780688,2.71
Patches and Hex Codes,0.41426905937655273,5.0
Patches and Hex Codes,0.5518202139873972,3.33
Patches and Hex Codes,0.5869387190727305,4.93
Patches and Hex Codes,0.578836196927737,2.37
Patches and Hex Codes,0.43584825465670113,3.48
Patches and Hex Codes,0.564950493910815,3.96
Patches and Hex Codes,0.49668494761975857,3.62
Patches and Hex Codes,0.7177273715832202,3.45
Patches and Hex Codes,0.3383356781328343,4.94
Patches and Hex Codes,0.5904152180031031,4.84
Patches and Hex Codes,0.6388528613944914,5.0
Patches and Hex Codes,0.7308259473081351,4.59
Patches and Hex Codes,0.714533523062909,2.15
Patches and Hex Codes,0.8227727979820779,2.2
Patches and Hex Codes,0.7148726761260448,2.03
Patches and Hex Codes,0.7797862768508296,5.0
Patches and Hex Codes,0.7007544045947142,2.89
Patches and Hex Codes,0.5726127196482802,4.79
Patches and Hex Codes,0.5096117006985701,4.91
Patches and Hex Codes,0.8184195062678657,4.89
Patches and Hex Codes,0.8507928016384538,2.19
Patches and Hex Codes,0.7457664086424872,5.0
Patches and Hex Codes,0.6615242531277991,4.92
Patches and Hex Codes,0.8106785305227496,4.86
Patches and Hex Codes,0.7070598912480903,4.97
Patches and Hex Codes,0.6656432462019222,1.62
Patches and Hex Codes,0.7910833139691148,4.23
Patches and Hex Codes,0.8019939430781523,1.93
Patches and Hex Codes,0.7610235663937532,2.67
Patches and Hex Codes,0.9255863249155283,4.54
Patches and Hex Codes,0.6679466435665614,4.93
Patches and Hex Codes,0.9136322395175746,3.92
Patches and Hex Codes,0.8342385768931105,5.0
Patches and Hex Codes,0.8403510498924674,4.83
Patches and Hex Codes,0.836062065376709,4.14
Patches and Hex Codes,0.8836817581966735,3.07
Patches and Hex Codes,0.9558167448955207,4.89
Patches and Hex Codes,0.8446566889641702,4.24
Patches and Hex Codes,0.9172707532416468,4.46
Patches and Hex Codes,0.8228562443761868,2.53
Patches and Hex Codes,0.912941405520818,4.79
Patches and Hex Codes,0.8698268660904666,2.56
